poi,text,like_count,published_at,video_id,video_title,sentiment,sentiment_score
Wat Phra Singh,"chang mai is nice and beautiful to visit thanks for your visits and share it with us,i feel like i am there with you personally",0,2024-12-05T07:14:58Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.8628
Wat Phra Singh,Wow i realky enoyed your video! It was well thought out and creative. I like that you added the addresses to the places where you visited and Chaing Mai seems like a slower pace of living which is nice. Will definitely visit. Could be a place I would like to live one day ❤,0,2025-04-03T19:17:50Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.8052
Wat Phra Singh,i love chiang mai so beautiful,0,2025-05-20T22:57:28Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.7444
Wat Phra Singh,"Chiang Mai is a lovely and peaceful city, perfect for a walk around the city.☺",0,2025-05-06T04:33:07Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.8861
Wat Phra Singh,"Your vlogs are so wonderfully crafted, you are very talented! I have watched hundreds of Thailand itineraries from couples who traveled there but what you create is really unique. 
You take us on a journey in a very relaxed flow. The way you film everything, the gentle music behind and only subtitles without speaking is so peaceful to watch. We just got home from our trip to Thailand and this is not only informative but also beautiful to watch playing in the background. It really takes us back! :-) 
I also love that you show some classics like the Doi Suthep & Chedi Luang temples, but also a lot of hidden gems we haven't visited yet!

Thank you for sharing your travels! I have already watched a lot of Japan content on Youtube but your video's are really showing me the places we want to visit! :-) 
Cheers from Antwerp, Belgium!",12,2025-01-03T09:46:23Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.8462
Wat Phra Singh,"Thank you for sharing! Chiang Mai truly has so much charm, from stunning sunrises to incredible food. This vlog beautifully captures the essence of the 'Rose of the North'—can't wait to visit someday!",3,2025-01-07T02:48:06Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.9265
Wat Phra Singh,"What a stunning vlog, I absolutely love it! You did such a great job with this video. I can't wait to visit Chiang Mai in March 2026. My first time visiting Thailand and i will be going to Chiang Rai too among other cities. Keep up the great work.",5,2025-01-30T02:40:07Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.9318
Wat Phra Singh,"Beautiful video. Thank you for sharing these nice places. They are not too crowded, when was the time of your travel in this video?",0,2025-09-25T05:05:31Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.8806
Wat Phra Singh,"Beautiful video! Cool to see Thailand from a different perspective, new sub :)",3,2024-11-15T05:37:07Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.9074
Wat Phra Singh,"Visited Thailand in 2019 it is one of my memorable trips, unfortunate did not visit chian mai, Thailand very beautiful country, love it ❤❤",2,2025-09-24T09:52:58Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.728
Wat Phra Singh,Thank you for visiting. We are local brand only on Chiang Mai 💗 28:19,0,2024-12-06T14:29:10Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.7226
Wat Phra Singh,"Lovely vlog! I've been to Chiang Mai but I missed so many of these places, will definitely see these places next time",0,2024-12-30T12:00:06Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.7909
Wat Phra Singh,"I live near Chiang Mai since 10 years and I know
Nesrly all the places you showed. You’ve chosen very good locations and aranged it to a beautiful bouquet!",0,2026-01-02T16:42:23Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.8949
Wat Phra Singh,"I'm going to visit Chiang Mai 2weeks after
I can use your video very usefully
I love this city's atmosphere   😊😊",0,2025-04-19T06:39:04Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.8639
Wat Phra Singh,"Congratulations for your exquisite video, love the flow and aesthetic. Chiang Mai is my happy place, was delicious to watch your take on it. Bravo!",0,2024-12-10T07:41:35Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.9527
Wat Phra Singh,Terrific faceless vlog that's inspiring with attention to detail.  Would love to visit this place with a different perspective.,1,2025-01-08T21:03:48Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.906
Wat Phra Singh,Great suggestions - I am about to go back to Chiang Mai for my 3rd time next week. This vlog had some places I haven't been to yet! So thank you!,0,2024-11-19T22:35:02Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.8767
Wat Phra Singh,Chiang mai is so beautiful!,0,2024-11-28T14:35:29Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.8775
Wat Phra Singh,I thought you couldn’t do Airbnb’s in Thailand? That place looks great,0,2024-12-06T07:38:43Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,neutral,0.621
Wat Phra Singh,"I absolutely love your video! This film gives me calm and peaceful vibes and I love it sooooo much. I'm going this summer and I cannot wait! Mind if I ask, what kind of camera do you use? I really like it!",0,2025-02-01T21:55:30Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.9267
Wat Phra Singh,"❤So cute & beautyful , I like this video & life style of you , I wish you enjoy for this trip , welcome to Thailand.🎉",0,2024-11-20T13:09:04Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.8638
Wat Phra Singh,I love this video.I’m chiang mai people.,0,2026-01-17T00:02:01Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.8529
Wat Phra Singh,I also visited Chiang Mai on my last trip to Thailand in the mid 2010s.  (I think it was in 2016.)  I stayed near the city centre and remember the Sunday Night Market and the gates.,0,2025-10-01T20:26:44Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,neutral,0.4742
Wat Phra Singh,"The red taxi is called ""songthaew"", a public minivan system common in Southeast Asia with a different name, from Thailand and its neighbors to Indonesia further south (it's called ""angkot"" here). 

Anw, I love your way of exploring. You mix everything in one like I do, from temples, city streets, cafe hopping, to shopping.",0,2024-11-29T13:46:21Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,neutral,0.4955
Wat Phra Singh,"I love the vibe and the relaxed atmosphere of this vlog. Can’t wait to visit Chiang Mai . 

If I may ask, I love your hat ! May I
know where it is from? Thanks a ton",0,2025-01-01T11:18:58Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.9026
Wat Phra Singh,"As chicken Khao Soi is a very traditional dish in Chiang Mai, that is the most un-authentic Khao Soi dish I have seen. Been there many times and that looks nothing like traditional Khao Soi.",0,2024-12-13T17:07:46Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,neutral,0.6029
Wat Phra Singh,"How was smokey season in Chiang Mai? Lots of atmosphere, eh?",1,2025-06-04T03:53:19Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,neutral,0.4333
Wat Phra Singh,"I really love your travveling style🎉Thank u for sharing. Is this 2 weeks ago? When is the best time to visit Chiang Mai , any months we should avoid? Thank u ❤",1,2024-11-27T08:24:02Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.7719
Wat Phra Singh,somehow you can only get good khao soi in Chiang Mai...,0,2024-12-07T00:02:54Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,neutral,0.3705
Wat Phra Singh,"I'm sorry ! That Khao Soi is far far from traditional, it's supposed to be a bone in drumstick in a soup, with crispy noodles on top, with lime, red onion and picked veg on the side !",2,2024-12-03T01:48:30Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,negative,0.8604
Wat Phra Singh,"Whats the best way to commute between all these cities/town. Lets say I start with Phuket then Krabi is only 3hrs drive from there so I cover that next (or I can do just the opposite i.e. start with Krabi then Phuket).
I've got interest in Bangkok or Pattaya.

Now next I want to cover is Chiang Mai and Chiang Rai. I see direct flight from Phuket to Chiang Mai.

My question-
 How to plan from Chiang Mai? Bus or train or flight to Chiang Rai?
Then back to Phuket while leaving the country or what",0,2025-01-08T16:54:24Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,neutral,0.5491
Wat Phra Singh,"Hi, I am about to visit Chiang Mai in 2 weeks. Was it easy to drive around or should I hire a driver?",0,2025-03-10T12:11:54Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,neutral,0.8197
Wat Phra Singh,Hi there! May i know when did you film this? Am planning a trip there but im not sure about the dry/ rainy season! 🙂,1,2025-01-11T17:12:43Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,neutral,0.7023
Wat Phra Singh,Where did you book your visit to Doi Suthep?,0,2025-06-09T07:23:10Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,neutral,0.8462
Wat Phra Singh,"Hi Riri, may i know how you move one place to another during your tour in Chiangmai? By grab or rent a car?",0,2025-07-27T05:13:06Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,neutral,0.852
Wat Phra Singh,Which dates did you travel to Chiang Mai?,0,2025-01-05T08:58:27Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,neutral,0.8775
Wat Phra Singh,How boring!!! Chiang  Mai being reduced to coffee shops and souvenir stalls! You dont have to go to Thaïland to see it but stay anywhere in any part of the US.,0,2025-05-20T17:04:12Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,negative,0.9171
Wat Phra Singh,"👉Download the ULTIMATE map of Chiang Mai - for FREE!
https://thailandtravelplanners.com/chiang-mai-map-form/?video=Lf9eSG9r2uY
👉Work with me to plan your dream Thailand adventure!
https://thailandtravelplanners.com/",2,2025-04-05T13:23:16Z,Lf9eSG9r2uY,The ONLY Chiang Mai Itinerary You Will EVER Need,neutral,0.6483
Wat Phra Singh,Next time you have to visit my place!!😁,0,2026-03-22T04:56:16Z,Lf9eSG9r2uY,The ONLY Chiang Mai Itinerary You Will EVER Need,positive,0.7995
Wat Phra Singh,Probably the best guide on Thailand.,0,2026-01-07T17:53:19Z,Lf9eSG9r2uY,The ONLY Chiang Mai Itinerary You Will EVER Need,positive,0.8814
Wat Phra Singh,Awesome video! Do you recommend 3 or 4 days to visit?,0,2025-12-28T14:09:45Z,Lf9eSG9r2uY,The ONLY Chiang Mai Itinerary You Will EVER Need,positive,0.7506
Wat Phra Singh,5:03 far over the Misty Mountains cold... ⛰️,0,2025-10-02T07:39:56Z,Lf9eSG9r2uY,The ONLY Chiang Mai Itinerary You Will EVER Need,negative,0.7528
Wat Phra Singh,"Hello, I just loved your video! Thank you! When did you travel there ? I am hesitating to travel to Thailand / Chiang Mai in the first two weeks of July because of the rainy season",0,2025-06-11T15:40:23Z,Lf9eSG9r2uY,The ONLY Chiang Mai Itinerary You Will EVER Need,neutral,0.5015
Wat Phra Singh,We've been watching all your videos in the lead up to our trip to Thailand. Can you recommend how we can do your Chiang Mai day trip tours? Any tour group recommendations for that day trip?,1,2025-08-31T20:14:56Z,Lf9eSG9r2uY,The ONLY Chiang Mai Itinerary You Will EVER Need,neutral,0.7081
Wat Phra Singh,Is this cafe actually called the mountain top cafe?,1,2026-01-13T03:04:44Z,Lf9eSG9r2uY,The ONLY Chiang Mai Itinerary You Will EVER Need,neutral,0.7193
Wat Phra Singh,is it worth it to go to 3 days hiking trip there? if you hear about it,0,2025-12-17T08:52:32Z,Lf9eSG9r2uY,The ONLY Chiang Mai Itinerary You Will EVER Need,neutral,0.7605
Wat Phra Singh,"Hi. Where is that village you said long neck women are? The closest ""village"" is closed and I don't think it was something to be called village anyway",0,2026-02-13T16:32:42Z,Lf9eSG9r2uY,The ONLY Chiang Mai Itinerary You Will EVER Need,negative,0.7328
Wat Phra Singh,How would you recommend getting around that area to follow this itinerary? Taxi? Rent a car? Or motorbike?,23,2025-06-26T12:34:24Z,Lf9eSG9r2uY,The ONLY Chiang Mai Itinerary You Will EVER Need,neutral,0.7715
Wat Phra Singh,Is the coffee there so spectacular? I mean you mention it all the time? Is it really one of the main attractions there? Or are you just coffee enthusiast,0,2025-10-02T07:49:29Z,Lf9eSG9r2uY,The ONLY Chiang Mai Itinerary You Will EVER Need,neutral,0.4257
Wat Phra Singh,https://youtu.be/Lf9eSG9r2uY?si=rI0iKjyD9kbOg70U&t=322 freshly roasted coffee or freshly brewed tea?,0,2025-07-08T08:20:26Z,Lf9eSG9r2uY,The ONLY Chiang Mai Itinerary You Will EVER Need,neutral,0.6885
Wat Phra Singh,Wow these a beautiful clips i will definitely visit some places. Thank you for sharing!,0,2025-10-23T15:11:15Z,R6f0IDBE4-k,18 Best Places to Visit in Chiang Mai 2026 - Best Things To Do in Chiang Mai Tha,positive,0.9316
Wat Phra Singh,"just back after 3 wks in Thailand, 4 days in Chiang mai and 3 in Chiang rai, magical,",0,2026-03-07T20:31:30Z,R6f0IDBE4-k,18 Best Places to Visit in Chiang Mai 2026 - Best Things To Do in Chiang Mai Tha,neutral,0.653
Wat Phra Singh,"Chiang Mai is a beautiful, old, quiet city with many sights to visit. It has a peaceful atmosphere and is better than southern Thailand, which is very crowded. ☯️👌🎁😎",0,2026-03-15T03:53:44Z,R6f0IDBE4-k,18 Best Places to Visit in Chiang Mai 2026 - Best Things To Do in Chiang Mai Tha,positive,0.8334
Wat Doi Suthep,"I have never forgot these memorable moments that I used to travel to Thai Land for 8 months ago . The first country where i travelled oversea . It helped me learn a lot of cultures ,food and reconized these new things from the life . Addition , i had improved my softskill and recharged my battery after i went back hometown",64,2025-01-12T13:47:29Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,neutral,0.6828
Wat Doi Suthep,"Nice representation, I'm English but have lived in Chiang Mai for 25 years...and music..cool as ever..thanks.",33,2025-02-02T07:20:00Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.8882
Wat Doi Suthep,This is one of the most beautiful visits to Chiang Mai I have ever seen. We were there a few times starting in 1998 and it is amazing how much it has changed... even the silo (bus/taxi) had new seat covers ! Thank you so much for your excellent videography and commentaries. I look forward to watching your other productions.,55,2024-11-27T17:42:56Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.8918
Wat Doi Suthep,"I live in Chiangmai and i love your video a lot, it's beautiful & peaceful Chiangmai",35,2024-11-19T03:20:00Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.9139
Wat Doi Suthep,"Cool, that atmosphere is different than in Bangkok, Pattaya or Phuket. Feels like you are indeed surrounded by a jungle. Nature all around you and that colonial style and feeling is still in the air.",3,2025-03-25T17:16:35Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,neutral,0.6778
Wat Doi Suthep,Very nice. Beautiful place to vacation ❤,1,2026-02-24T05:51:10Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.9334
Wat Doi Suthep,"Chiang Mai is such a beautiful place 😍🇹🇭
We were there recently and absolutely loved it!",0,2026-03-29T08:22:31Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.926
Wat Doi Suthep,I visited Chiang Mai in 1990. It has really developed in the last 35 years. I have a couple of friends who moved from the Big Island of Hawaii to Chiang Mai years ago. Your travel vlog makes me want to return. Thank you for sharing your experiences. The Buddha smiles.,30,2025-02-06T03:52:01Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.8872
Wat Doi Suthep,"Thailand is full of fascinating things and delicious food, with wonderful wonders to explore.",2,2025-05-24T01:52:34Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.9121
Wat Doi Suthep,"Thank you for this vlog, you see with beauty.  Chang Mai is one of my favourite places in the world.  I love that you've highlighted the more sophisticated, mellow, creative and stylish aspects of the city.  I've been to Wat Phra That Doi Suthep many times but didn't know about Wat Pha Lat so will definitely be visiting next time I visit.  Kop Kun Ka.",3,2025-04-30T14:09:28Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.8545
Wat Doi Suthep,Such a beautiful and calming video! I haven’t been to chiang mai in many years and it’s amazing to see the changes. I was watching the doi suthep temple section and was overwhelmed with its ornate design when I realized I’d been there before on a meditation retreat! Thank you for sharing your lovely adventure ❤,2,2025-03-09T14:59:04Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.7785
Wat Doi Suthep,"Eat, temple, eat, eat, window shopping, repeat.",0,2026-03-21T13:17:24Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,neutral,0.5545
Wat Doi Suthep,Perfect vacation! Can’t wait to go to thailand❤,0,2025-03-31T09:09:49Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.9014
Wat Doi Suthep,"Wow, I’ve been to Chiang Mai so many times but never seen this aesthetic as your trip. I’m going to Chiang Mai again soon. Thank you for sharing this vlog; such a great inspirational.",0,2025-05-04T13:38:35Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.9309
Wat Doi Suthep,Thank you - planning a trip to Chiang Mai in a few months for about the same duration. This is a great itinerary!,0,2025-06-11T01:33:36Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.9159
Wat Doi Suthep,"Amazing and beautiful video! I really love Chiang Mai – such a special place with great atmosphere, culture, and food. Always a pleasure to see it!",0,2025-05-23T11:42:36Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.9511
Wat Doi Suthep,Amazing and beautiful video !!  Love Chiang Mai!  Will miss it again when I leave in two days time :-(.,0,2025-05-13T17:04:10Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,neutral,0.59
Wat Doi Suthep,I love this vlog! 😍 it makes me wanna visit Chiang Mai soon! ❤,0,2025-02-08T21:43:01Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.9184
Wat Doi Suthep,Thank you for sharing your beautiful video of your trip to Chiang Mai! Makes me want to plan a trip :),0,2025-02-19T14:37:15Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.9239
Wat Doi Suthep,"I love what you’ve done with this video. I hope it’s the format you’re using for all your videos. Your subtitle format without a voiceover was refreshing. Your photography skills are excellent. You edited back-to-back shots of the tower at Neiman One which I thought was odd but I’ll forgive you for that ha ha. I’ve lived here for a while, so I was curious to see which places you chose to highlight, and I learned of Kalm. So we’re going tomorrow. ChiangMai never ceases to amaze me. There’s always some new spot that I don’t know about that pops up. Good work. Refreshing. I never wanna hear another AI voice over again.",0,2025-08-04T12:21:47Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.8642
Wat Doi Suthep,"Thank you for a nicely shot vlog! 👍

We have visited 🇨🇷 several times, but never in North. Based on this vid we definitrly should! 

The vibe looks different. Probably it is so too.",0,2025-05-17T05:50:18Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.8997
Wat Doi Suthep,"Your vlogs are ""Eye Soothing"" to watch and I mean it. We travelled Thailand back in 2018 (that was our first overseas tour) and it was a rush tour. Only Bangkok, Phuket and Phi Phi. We hadn’t been to Khao San Road & ChatuChak market!!!  Can you beleive!! However, we are again planning for Thailand this year (if God wishes) and Chiang Mai and Krabi is a must; also, Phuket. Will gradually see your Bangkok vlog. Take love from Bangladesh ❤❤❤",1,2025-04-02T07:52:10Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,neutral,0.4845
Wat Doi Suthep,"chang mai is nice and beautiful to visit thanks for your visits and share it with us,i feel like i am there with you personally",0,2024-12-05T07:14:58Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.8628
Wat Doi Suthep,Wow i realky enoyed your video! It was well thought out and creative. I like that you added the addresses to the places where you visited and Chaing Mai seems like a slower pace of living which is nice. Will definitely visit. Could be a place I would like to live one day ❤,0,2025-04-03T19:17:50Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.8052
Wat Doi Suthep,i love chiang mai so beautiful,0,2025-05-20T22:57:28Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.7444
Wat Doi Suthep,"Chiang Mai is a lovely and peaceful city, perfect for a walk around the city.☺",0,2025-05-06T04:33:07Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.8861
Wat Doi Suthep,"Your vlogs are so wonderfully crafted, you are very talented! I have watched hundreds of Thailand itineraries from couples who traveled there but what you create is really unique. 
You take us on a journey in a very relaxed flow. The way you film everything, the gentle music behind and only subtitles without speaking is so peaceful to watch. We just got home from our trip to Thailand and this is not only informative but also beautiful to watch playing in the background. It really takes us back! :-) 
I also love that you show some classics like the Doi Suthep & Chedi Luang temples, but also a lot of hidden gems we haven't visited yet!

Thank you for sharing your travels! I have already watched a lot of Japan content on Youtube but your video's are really showing me the places we want to visit! :-) 
Cheers from Antwerp, Belgium!",12,2025-01-03T09:46:23Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.8462
Wat Doi Suthep,"Thank you for sharing! Chiang Mai truly has so much charm, from stunning sunrises to incredible food. This vlog beautifully captures the essence of the 'Rose of the North'—can't wait to visit someday!",3,2025-01-07T02:48:06Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.9265
Wat Doi Suthep,"What a stunning vlog, I absolutely love it! You did such a great job with this video. I can't wait to visit Chiang Mai in March 2026. My first time visiting Thailand and i will be going to Chiang Rai too among other cities. Keep up the great work.",5,2025-01-30T02:40:07Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.9318
Wat Doi Suthep,"Beautiful video. Thank you for sharing these nice places. They are not too crowded, when was the time of your travel in this video?",0,2025-09-25T05:05:31Z,57FgVJ5HiGk,4 days in Chiang Mai | thailand vlog,positive,0.8806
